City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,motygino,58.1831,94.7592,-14.77,88,98,7.99,RU,1737603511
146,urucurituba,-2.6833,-57.6667,22.2,98,97,0.76,BR,1737603512
147,maysville,38.6412,-83.7444,-6.95,53,0,3.09,US,1737603244
148,varca,15.2167,73.9167,24.0,64,4,2.06,IN,1737603515
149,trairi,-3.2778,-39.2689,24.03,91,62,2.82,BR,1737603402
150,kingston,17.997,-76.7936,25.53,78,20,2.06,JM,1737603492
151,east london,-33.0153,27.9116,21.52,94,0,4.63,ZA,1737603518
152,carnarvon,-24.8667,113.6333,28.9,70,100,5.1,AU,1737603519
153,kavieng,-2.5744,150.7967,30.01,71,100,6.11,PG,1737603520
154,bima,-8.4667,118.7167,30.55,72,77,1.89,ID,1737603522
155,kone,-21.0595,164.8658,29.41,52,100,3.97,NC,1737603523
156,tolanaro,-25.0319,46.9987,24.04,94,40,4.12,MG,1737603536
157,bamboo flat,11.7,92.7167,27.05,74,20,4.63,IN,1737603538
158,namtsy,62.7161,129.6658,-11.74,95,100,1.54,RU,1737603540
159,port mathurin,-19.6833,63.4167,26.27,75,5,6.01,MU,1737603541
160,taber,49.8167,-112.1518,-4.69,74,3,4.82,CA,1737603542
161,kaa-khem,51.6833,94.7333,-14.58,91,100,1.23,RU,1737603543
162,beloyarskiy,63.7119,66.6722,-34.63,99,22,1.79,RU,1737603544
163,qamdo,31.1667,97.2333,3.76,32,20,1.85,CN,1737603545
164,oroszlany,47.4867,18.3123,0.97,96,100,4.63,HU,1737603546
165,rio gallegos,-51.6226,-69.2181,15.03,77,0,8.23,AR,1737603485
166,northam,51.0333,-4.2167,4.89,95,80,1.79,GB,1737603549
167,luanda,-8.8368,13.2343,26.0,78,75,3.09,AO,1737603249
168,angaur state,6.906,134.13,27.71,84,100,4.87,PW,1737603551
169,klyuchi,52.2667,79.1667,-19.26,90,100,7.66,RU,1737603552
170,holualoa,19.6228,-155.9522,22.15,70,99,2.86,US,1737603357
171,jaru,-10.4389,-62.4664,21.32,97,98,1.13,BR,1737603434
172,okhotsk,59.3833,143.3,-18.68,78,3,5.05,RU,1737603556
173,barah,13.7,30.3667,18.94,24,4,4.49,SD,1737603557
174,barpathar,26.3,93.8667,22.56,49,2,0.31,IN,1737603558
175,katsuren-haebaru,26.3369,127.8719,22.01,67,100,5.66,JP,1737603559
176,ola,59.5833,151.2833,-20.92,78,1,0.69,RU,1737603560
177,rongelap,11.1635,166.8941,26.69,75,99,8.69,MH,1737603561
178,georgetown,5.4112,100.3354,28.96,76,40,2.57,MY,1737603321
179,jeddah,21.5169,39.2192,24.2,49,0,2.61,SA,1737603564
180,dalnegorsk,44.5604,135.5701,-3.58,78,100,0.44,RU,1737603565
181,tindouf,27.6711,-8.1474,10.25,29,0,2.06,DZ,1737603566
182,severodvinsk,64.5635,39.8302,-8.6,95,100,3.11,RU,1737603567
183,mount gambier,-37.8333,140.7667,18.01,51,100,4.09,AU,1737603568
184,keokuk,40.3973,-91.3849,-2.71,100,100,5.0,US,1737603570
185,north battleford,52.7834,-108.2847,-6.95,79,100,6.17,CA,1737603571
186,cabo san lucas,22.8909,-109.9124,19.86,74,0,0.0,MX,1737603572
187,ghanzi,-21.5667,21.7833,18.75,63,4,3.1,BW,1737603573
188,krasnoturansk,54.3186,91.5639,-14.8,79,62,2.99,RU,1737603574
189,punta arenas,-53.15,-70.9167,14.06,72,0,3.09,CL,1737603575
190,tubarjal,30.4999,38.216,6.83,38,2,1.62,SA,1737603578
191,sault ste. marie,46.5168,-84.3333,-10.84,85,100,3.09,CA,1737603541
192,vila velha,-20.3297,-40.2925,25.97,91,20,3.6,BR,1737603510
193,huron,41.1501,-82.5499,-9.25,56,97,6.99,US,1737603581
194,saint-pierre,-21.3393,55.4781,27.82,54,8,2.06,RE,1737603582
195,sur,22.5667,59.5289,21.13,46,31,10.02,OM,1737603584
196,revda,56.801,59.9303,-21.22,96,97,3.91,RU,1737603585
197,undurkhaan,47.3194,110.6556,-8.38,55,0,1.81,MN,1737603586
198,san rafael,-34.6177,-68.3301,28.09,35,3,7.26,AR,1737603321
199,touros,-5.1989,-35.4608,26.63,68,5,4.55,BR,1737603588
200,zhuanghe,39.7008,122.9911,1.55,28,0,0.62,CN,1737603589
